Article Number,Article,Title,Description
153,153. Governors of States There shall be Governor for each State: Provided that nothing in this article shall prevent the appointment of the same person as Governor for two or more States,Article 153: Governors of States,"Every state in India has a Governor, and in some cases, the same person can be the Governor of more than one state.

"
154,"154. Executive power of State
 (1) The executive power of the State shall be vested in the Governor and shall be exercised by him either directly or through officers subordinate to him in accordance with this Constitution
 (2) Nothing in this article shall
 (a) be deemed to transfer to the Governor any functions conferred by any existing law on any other authority; or
 (b) prevent Parliament or the Legislature of the State from conferring by law functions on any authority subordinate to the Governor",Article 154: Executive Power of State,"This article outlines the distribution of executive power at the State level in India, specifying the role of the Governor and the delegation of executive functions.

Key Provisions of Article 154:
Vesting of Executive Power (Clause 1):

The executive power of the State is vested in the Governor.
The Governor exercises this power either directly or through officers subordinate to him, as per the provisions of the Constitution.
Exceptions to the Executive Power (Clause 2):

Clause 2 ensures certain exceptions to the Governor's executive powers:
(a) It does not transfer to the Governor any functions that existing laws have already conferred on any other authority.
(b) It does not prevent Parliament or the State Legislature from delegating functions to authorities that are subordinate to the Governor.
"
155,155. Appointment of Governor The Governor of a State shall be appointed by the President by warrant under his hand and seal,Article 155: Appointment of Governor,The President appoints the Governor of each state. The Governor’s appointment is formalized with a document signed by the President.
156,"156. Term of office of Governor
 (1) The Governor shall hold office during the pleasure of the President
 (2) The Governor may, by writing under his hand addressed to the President, resign his office
 (3) Subject to the foregoing provisions of this article, a Governor shall hold for a term of five years from the date on which he enters upon his office
 (4) Provided that a Governor shall, notwithstanding the expiration of his term, continue to hold office until his successor enters upon his office",Article 156: Term of Office of Governor,"This article details the term of office and conditions under which a Governor holds office in a state in India.

Key Provisions of Article 156:
Term of Office (Clause 1):

A Governor holds office during the pleasure of the President. This means the President can remove the Governor at any time without assigning any reason, although in practice, Governors generally serve a fixed term unless dismissed earlier.
Resignation (Clause 2):

A Governor can resign from office by submitting a written resignation addressed to the President.
Fixed Term (Clause 3):

A Governor holds office for a term of five years starting from the day they assume office, subject to the President's pleasure.
Continuation after Term (Clause 4):

Even after the expiration of the five-year term, a Governor continues to hold office until their successor assumes office."
157,157. Qualifications for appointment as Governor No person shall be eligible for appointment as Governor unless he is a citizen of India and has completed the age of thirty five years,Article 157: Qualifications for Appointment as Governor,"To become a Governor, a person must:

Be an Indian citizen.
Be at least 35 years old.
"
158,"158. Conditions of Governor office
 (1) The Governor shall not be a member of either House of Parliament or of a House of the Legislature of any State specified in the First Schedule, and if a member of either House of Parliament or of a House of the Legislature of any such State be appointed Governor, he shall be deemed to have vacated his seat in that House on the date on which he enters upon his office as Governor
 (2) The Governor shall not hold any other office of profit
 (3) The Governor shall be entitled without payment of rent to the use of his official residences and shall be also entitled to such emoluments, allowances and privileges as may be determined by Parliament by law and, until provision in that behalf is so made, such emoluments, allowances and privileges as are specified in Second Schedule
 (3A) Where the same person is appointed as Governor of two or more States, the emoluments and allowances payable to the Governor shall be allocated among the States in such proportion as the President may by order determine
 (4) The emoluments and allowances of the Governor shall not be diminished during his term of office",Article 158: Conditions of Governor's Office,"This article outlines the conditions related to the office of the Governor in an Indian state.

Key Provisions of Article 158:
Disqualification from Legislative Membership (Clause 1):

A Governor cannot be a member of Parliament or any State Legislature.
If a Member of Parliament or a State Legislature is appointed as a Governor, they are considered to have vacated their seat in the legislature the moment they assume office as Governor.
Prohibition on Holding Another Office of Profit (Clause 2):

A Governor cannot hold any other office of profit. This ensures that the Governor’s position remains independent and free from any other financial or professional commitments.
Entitlement to Residence, Emoluments, and Privileges (Clause 3):

The Governor is entitled to use the official residence without paying rent.
The Governor is also entitled to emoluments, allowances, and privileges as determined by Parliament through law.
Until Parliament makes such provisions, the Governor is entitled to the emoluments, allowances, and privileges as specified in the Second Schedule.
Governors of Multiple States (Clause 3A):

If the same person is appointed as Governor of two or more states, the emoluments and allowances for the Governor are to be allocated among the states. The President will determine the allocation by order.
Protection from Salary Reduction (Clause 4):

The emoluments and allowances of the Governor cannot be diminished during their term of office. This ensures that the Governor's compensation remains stable throughout their tenure.
"
159,"159. Oath or affirmation by Governor Every Governor and every person discharging the functions of the Governor shall, before entering upon his office, make and subscribe in the presence of the chief Justice of the High Court exercising jurisdiction in relation to the State, or, in his absence, the senior most Judge of that court available, an oath or affirmation in the following form, that is to say swear in the name of God I, A B, do that I solemnly affirm will faithfully execute the office of Governor (or discharge the functions of the Governor) of (name of the State) and will to the best of my ability preserve, protect and defend the Constitution and the law and that I will devote myself to the service and well being of the people of (name of the State)",Article 159: Oath or Affirmation by Governor,"Before taking office, the Governor must swear an oath to protect the Constitution and serve the people of the state to the best of their ability.

"
160,160. Discharge of the functions of the Governor in certain contingencies The President may make such provision as he thinks fit for the discharge of the functions of the Governor of a State in any contingency not provided for in this Chapter,Article 160: Discharge of the Functions of the Governor in Certain Contingencies,"If something unexpected happens and the Governor cannot perform their duties, the President can make arrangements for someone else to perform those functions.

"
161,"161. Power of Governor to grant pardons, etc, and to suspend, remit or commute sentences in certain cases The Governor of a State shall have the power to grant pardons, reprieves, respites or remissions of punishment or to suspend, remit or commute the sentence of any person convicted of any offence against any law relating to a matter to which the executive power of the State extends","Article 161: Power of Governor to Grant Pardons, Etc.","The Governor can forgive crimes (grant pardons) or change punishments in cases related to state laws. This is like a special power to show mercy.

"
162,"162. Extent of executive power of State Subject to the provisions of this Constitution, the executive power of a State shall extend to the matters with respect to which the Legislature of the State has power to make laws Provided that in any matter with respect to which the Legislature of a State and Parliament have power to make laws, the executive power of the State shall be subject to, and limited by, the executive power expressly conferred by the Constitution or by any law made by Parliament upon the Union or authorities thereof Council of Ministers",Article 162: Extent of Executive Power of State,"The executive powers of a state are limited to the matters where the state legislature can make laws. However, if both the state and central government can make laws on a subject, the state’s executive power is limited by the central government’s laws."
163,"163. Council of Ministers to aid and advise Governor
 (1) There shall be a council of Ministers with the chief Minister at the head to aid and advise the Governor in the exercise of his functions, except in so far as he is by or under this constitution required to exercise his functions or any of them in his discretion
 (2) If any question arises whether any matter is or is not a matter as respects which the Governor is by or under this Constitution required to act in his discretion, the decision of the Governor in his discretion shall be final, and the validity of anything done by the Governor shall not be called in question on the ground that he ought or ought not to have acted in his discretion
 (3) The question whether any, and if so what, advice was tendered by Ministers to the Governor shall not be inquired into in any court",Article 163: Council of Ministers to Aid and Advise Governor,"This article describes the role of the Council of Ministers in assisting the Governor in the exercise of his functions, as well as the scope of the Governor's discretion.

Key Provisions of Article 163:
Council of Ministers to Aid and Advise the Governor (Clause 1):

Every Governor is aided and advised by a Council of Ministers, headed by the Chief Minister.
This council helps the Governor in performing most of his functions.
However, there are instances where the Governor may be required to act in his discretion, in which case the advice of the Council of Ministers may not be binding on him.
Governor’s Discretion (Clause 2):

If there is a dispute about whether a particular matter requires the Governor to act in his discretion, the Governor's decision on whether or not he is exercising discretion is final.
This means that the validity of the Governor's actions cannot be challenged in court on the grounds that the Governor should have acted with or without the advice of the Council of Ministers.
Inquiries into Ministerial Advice (Clause 3):

Courts cannot inquire into what advice was given by the Council of Ministers to the Governor.
The Governor's decision, based on the advice received, is not subject to judicial review."
164,"164. Other provisions as to Ministers
 (1) The chief Minister shall be appointed by the Governor and the other Ministers shall be appointed by the Governor on the advice of the Chief Minister, and the Ministers shall hold office during the pleasure of the Governor: Provided that in the State of Bihar, Madhya Pradesh and Orissa, there shall be a Minister in charge of tribal welfare who may in addition be in charge of the welfare of the Scheduled Castes and backward classes or any other work
 (2) The Council of Ministers shall be collectively responsible to the Legislative Assembly of the State
 (3) Before a Minister enters upon his office, the Governor shall administer so him the oaths of office and of secrecy according to the forms set out for the purpose in the Third Schedule
 (4) A Minister who for any period of six consecutive months is not a member of the Legislature of the State shall at the expiration of that period cease to be a Minister
 (5) The salaries and allowances of Ministers shall be such as the Legislature of the State may from time to time by law determine and, until the Legislature of the State so determines, shall be as specified in the Second Schedule The Advocate General for the State",Article 164: Other Provisions as to Ministers,"This article outlines the appointment, responsibilities, and qualifications for Ministers in the States of India.

Key Provisions of Article 164:
Appointment of Chief Minister and Other Ministers (Clause 1):

The Governor appoints the Chief Minister.
The other Ministers are appointed by the Governor on the advice of the Chief Minister.
The Ministers hold office at the pleasure of the Governor.
A special provision applies to the States of Bihar, Madhya Pradesh, and Orissa, where there must be a Minister in charge of tribal welfare, who may also handle the welfare of Scheduled Castes, backward classes, or other duties.
Collective Responsibility of the Council of Ministers (Clause 2):

The Council of Ministers, headed by the Chief Minister, is collectively responsible to the Legislative Assembly of the State.
This means that if the Legislative Assembly passes a vote of no confidence, all the Ministers in the state must resign collectively.
Oaths of Office and Secrecy (Clause 3):

Before a Minister takes office, the Governor administers an oath of office and an oath of secrecy, according to the forms specified in the Third Schedule.
Term of Office for Ministers (Clause 4):

A Minister who is not a member of the State Legislature for six consecutive months will automatically cease to be a Minister at the end of that period.
This ensures that all Ministers remain accountable to the legislature.
Salaries and Allowances of Ministers (Clause 5):

The salaries and allowances of Ministers are determined by the State Legislature.
If the Legislature has not set the salaries, they will be as specified in the Second Schedule."
165,"165. Advocate General for the State
 (1) The Governor of each State shall appoint a person who is qualified to be appointed a Judge of a High Court to be Advocate General for the State
 (2) It shall be the duty of the Advocate General to give advice to the Government of the State upon such legal matters, and to perform such other duties of a legal character, as may from time to time be referred or assigned to him by the Governor, and to discharge the functions conferred on him by or under this Constitution or any other law for the time being in force
 (3) The Advocate General shall hold office during the pleasure of the Governor, and shall receive such remuneration as the Governor may determine Conduct of Government Business",Article 165: Advocate General for the State,"1. Appointment of Advocate General:
The Governor of each State shall appoint a person as the Advocate General for the State.
The person appointed must be qualified to be appointed a Judge of a High Court.
2. Duties of the Advocate General:
The Advocate General shall:
Give legal advice to the Government of the State on legal matters.
Perform other legal duties assigned by the Governor.
Discharge functions given to him by the Constitution or any other law in force.
3. Tenure and Remuneration:
The Advocate General holds office during the pleasure of the Governor, meaning the Governor can remove the Advocate General at any time.
The Advocate General shall receive such remuneration (salary or payment) as the Governor may determine."
166,"166. Conduct of business of the Government of a State
 (1) All executive action of the Government of a State shall be expressed to be taken in the name of the Governor
 (2) Orders and other instruments made and executed in the name of the Governor shall be authenticated in such manner as may be specified in rules to be made by the Governor, and the validity of an order on instruction which is so authenticated shall not be called in question on the ground that it is not an order or instrument made or executed by the Governor
 (3) The Governor shall make rules for the more convenient transaction of the business of the Government of the State, and for the allocation among Ministers of the said business in so far as it is not business with respect to which the Governor is by or under this Constitution required to act in his discretion",Article 166: Conduct of business of the Government of a State,"1. Executive Action in the Name of the Governor:
All executive actions taken by the Government of a State must be expressed to be taken in the name of the Governor.
This means that any action or decision made by the State government is officially carried out under the name of the Governor, even if it is executed by someone else, like a Minister or official.
2. Authentication of Orders:
Orders and instruments made or executed in the name of the Governor must be authenticated according to the rules specified by the Governor.
The rules will determine how these orders are verified as valid.
The validity of an order or instrument that is authenticated in this manner cannot be challenged on the grounds that it was not made or executed by the Governor personally.
3. Rules for the Conduct of Government Business:
The Governor is responsible for making rules that ensure the smooth transaction of business within the Government of the State.
These rules also cover how the business is allocated among Ministers.
However, the Governor's discretion applies to matters where the Constitution requires him to act personally or without Ministerial advice.
"
167,"167. Duties of Chief Minister as respects the furnishing of information to Governor, etc It shall be the duty of the Chief Minister of each State
 (a) to communicate to the Governor of the State all decisions of the council of Ministers relating to the administration of the affairs of the State and proposals for legislation;
 (b) to furnish such information relating to the administration of the affairs of the State and proposals for legislation as the Governor may call for; and
 (c) if the Governor so requires, to submit for the consideration of the Council of Ministers any matter on which a decision has been taken by a Minister but which has not been considered by the Council CHAPTER III THE STATE LEGISLATURE General","Article 167: Duties of Chief Minister as Respects the Furnishing of Information to Governor, etc.","(a) Communication of Decisions to the Governor:
The Chief Minister must communicate to the Governor of the State all decisions made by the Council of Ministers. This includes:
Decisions related to the administration of the State's affairs.
Proposals for legislation (laws to be made).
(b) Furnishing Information on Request:
The Chief Minister must provide any information related to the administration of the State or proposals for legislation that the Governor may ask for.
This ensures the Governor is kept informed about the State's administration and plans.
(c) Submission of Matters for Consideration:
If the Governor asks, the Chief Minister must submit any matter to the Council of Ministers for discussion, if:
A Minister has already made a decision on it but it has not yet been considered by the Council of Ministers.
This allows the Governor to ensure that important matters are properly discussed at the highest level of the State government."
