Article Number,Article,Title,Description
214,214. High Courts for States There shall be a High Court for each State,Article 214: High Courts for States,Every State will have its own High Court.
215,215. High Courts to be courts of record Every High Court shall be a court of record and shall have all the powers of such a court including the power to punish for contempt of itself,Article 215: High Courts to be Courts of Record,"Every High Court is a court of record, meaning it keeps official records of its proceedings and has the power to punish people for contempt (disrespect)."
216,216. Constitution of High Courts Every High Court shall consist of a Chief Justice and such other Judges as the President may from time to time deem it necessary to appoint,Article 216: Constitution of High Courts,"Every High Court will have a Chief Justice and other judges, as decided by the President."
217,"217. Appointment and conditions of the office of a Judge of a High Court
 (1) Every Judge of a High Court shall be appointed by the President by warrant under his hand and seal after consultation with the Chief Justice of India, the Governor of the State, and, in the case of appointment of a Judge other than the chief Justice, the chief Justice of the High court, and shall hold office, in the case of an additional or acting Judge, as provided in Article 224, and in any other case, until he attains the age of sixty two years Provided that
 (a) a Judge may, by writing under his hand addressed to the President, resign his office;
 (b) a Judge may be removed from his office by the President in the manner provided in clause ( 4 ) of Article 124 for the removal of a Judge of the Supreme Court;
 (c) the office of a Judge shall be vacated by his being appointed by the President to be a Judge of the Supreme Court or by his being transferred by the President to any other High Court within the territory of India
 (2) A person shall not be qualified for appointment as a Judge of a High Court unless he is a citizen of India and
 (a) has for at least ten years held a judicial office in the territory of India; or
 (b) has for at least ten years been an advocate of a High Court or of two or more such Courts in succession; Explanation For the purposes of this clause
 (a) in computing the period during which a person has held judicial office in the territory of India, there shall be included any period, after he has held any judicial office, during which the person has been an Advocate of a High Court or has held the office of a member of a tribunal or any post, under the Union or a State, requiring special knowledge of law;
 (aa) in computing the period during which a person has been an advocate of a High Court, there shall be included any period during which the person has held judicial office or the office of a member of a tribunal or any post, under the Union or a State, requiring special knowledge of law after he became an advocate;
 (b) in computing the period during which a person has held judicial office in the territory of India or been an advocate of High Court, there shall be included any period before the commencement of this Constitution during which he has held judicial office in any area which was comprised before the fifteenth day of August, 1947 , within India as defined by the Government of India Act, 1935 , or has been an advocate of any High Court in any such area, as the case may be
 (3) If any question arises as to the age of a Judge of a High Court, the question shall be decided by the President after consultation with the Chief Justice of India and the decision of the President shall be final",Article 217: Appointment and Conditions of the Office of a Judge of a High Court,"This outlines how Judges of High Courts in India are appointed, their qualifications, term of office, and conditions for leaving office.

(1) Appointment Process:
Who appoints?
Judges of a High Court are appointed by the President of India.
Who is consulted?
The Chief Justice of India (CJI),
The Governor of the State where the High Court is located, and
In case of a Judge other than the Chief Justice, the Chief Justice of the respective High Court.
Tenure:
A Judge holds office until they reach the age of 62 years. However:
Resignation: A Judge can resign by writing to the President.
Removal: A Judge can be removed by the President as per the procedure in Article 124(4) (same as for Supreme Court Judges, which involves impeachment).
Transfer: A Judge may vacate the office if appointed to the Supreme Court or transferred to another High Court.
(2) Qualifications to Become a High Court Judge:
To be appointed as a High Court Judge, a person must:

Be a Citizen of India.
Have one of the following legal experiences:
At least 10 years of holding a judicial office in India, OR
At least 10 years of being an advocate in a High Court (or multiple High Courts in succession).
Explanation:

Certain periods can be added to the required 10 years of experience:
If a person has worked as a judicial officer and later practiced as an advocate, the time spent in both roles can be combined.
If a person has held legal positions requiring special knowledge of law (e.g., tribunal member, government legal advisor), this time can also count toward the 10 years.
Experience gained before 15th August 1947 in judicial or legal roles under the Government of India Act, 1935, is also counted.
(3) Resolving Age Disputes:
If there is a dispute about the age of a Judge, the matter is decided by the President after consulting the Chief Justice of India.
The decision of the President is final."
218,218. Application of certain provisions relating to Supreme Court to High Courts The provisions of clauses ( 4 ) and ( 5 ) of Article 124 shall apply in relation to a High Court as they apply in relation to the Supreme Court with the substitution of references to the High Court for references to the Supreme Court,Article 218: Same Rules for High Courts as for Supreme Court,"This article ensures that the procedures and rules followed by the Supreme Court also apply to the High Courts in most cases. However, the application of these rules to High Courts can be modified to fit their context. Essentially, it treats the High Court as a smaller version of the Supreme Court with some rules that apply to both courts."
219,"219. Oath or affirmation by Judges of High Courts Every person appointed to be a Judge of a High Court shall, before he enters upon his office, make and subscribe before the Governor of the State, or some person appointed in that behalf by him, an oath or affirmation according to the form set out for the purpose in the Third Schedule",Article 219: Judges of High Courts Must Take an Oath,"Before taking office, judges of a High Court must take an oath in front of the Governor of the state. The oath is a promise to perform their duties fairly, impartially, and in accordance with the Constitution. This helps ensure that the judge commits to acting justly and according to the law."
220,"220. Restriction on practice after being a permanent Judge No person who, after the commencement of this Constitution, has held office as a permanent Judge of a High Court shall plead or act in any court or before any authority in India except the Supreme Court and the other High Courts Explanation In this article, the expression High Court does not include a High Court for a State specified in Part B of the First Schedule as it existed before the commencement of the Constitution (seventh Amendment) Act, 1956",Article 220: Judges Cannot Practice Law After Being Appointed,"Once appointed as a judge of a High Court, a person cannot practice law in any other court in India. This prevents conflicts of interest and ensures that judges remain neutral and unbiased. However, they can practice law in the Supreme Court or in other High Courts."
221,"221. Salaries etc, of Judges
 (1) There shall be paid to the Judges of each High Court such salaries as may be determined by Parliament by law and, until provision in that behalf is so made, such salaries as are specified in the Second Schedule
 (2) Every Judge shall be entitled to such allowances and to such rights in respect of leave of absence and pension as may from time to time be determined by or under law made by Parliament and, until so determined, to such allowances and rights as are specified in the Second Schedule: Provided that neither the allowances of a Judge nor his rights in respect of leave of absence shall be varied to his disadvantage after his appointment",Article 221: Judges' Salaries and Benefits,"The salaries and benefits of High Court judges are determined by the government. The article guarantees that once a judge is appointed, their salary cannot be reduced during their term. It also includes things like pension and other benefits after retirement. This ensures that judges are not financially influenced and can perform their duties with independence."
222,"222. Transfer of a Judge from one High Court to another
 (1) The President may, after consultation with the Chief Justice of India, transfer a Judge from one High Court to any other High Court
 (2) When a Judge has been or is so transferred, he shall, during the period he serves, after the commencement of the Constitution (Fifteenth Amendment) Act, 1963 , as a Judge of the other High Court, be entitled to receive in addition to his salary such compensatory allowance as may be determined by Parliament by law and, until so determined, such compensatory allowance as the President may by order fix",Article 222: Moving Judges Between High Courts,"If the President of India believes a judge should be moved from one High Court to another, they can do so after consulting with the Chief Justice of India. The judge’s salary and other benefits are protected during the move, and the judge is entitled to travel allowances as well. This provision allows for the flexibility to place judges where they are most needed."
223,"223. Appointment of acting Chief Justice When the office of Chief Justice of High Court is vacant or when any such Chief Justice is, by reason of absence or otherwise, unable to perform the duties of his office, the duties of the office shall be performed by such one of the other Judges of the Court as the President may appoint for the purposes",Article 223: Appointment of Acting Chief Justice,"If the Chief Justice of a High Court is unable to perform their duties (due to illness, vacation, etc.), the President can appoint an acting Chief Justice. This temporary Chief Justice will carry out the responsibilities of the Chief Justice until the original one returns."
