Article Number,Article,Title,Description
168,"168. Constitution of Legislatures in States
 (1) For every State there shall be a Legislature which shall consist of the Governor, and
 (a) in the States of Bihar, Madhya Pradesh, Maharashtra, Karnataka and Uttar Pradesh, two houses:
 (b) in other States, one House
 (2) Where there are two Houses of the Legislature of a State, one shall be known as the Legislative Council and the other as the Legislative Assembly, and where there is only one House, it shall be known as the Legislative Assembly",Article 168: Constitution of Legislatures in States,"(1) Legislature in Every State:
Every State in India must have a Legislature. This Legislature consists of:

The Governor (who represents the executive power in the state).
Two houses of the Legislature in some States, and one house in others.
Details:

In the following States, there are two houses in the Legislature:
Bihar
Madhya Pradesh
Maharashtra
Karnataka
Uttar Pradesh
In all other States, the Legislature has one house.
(2) Names of the Houses:
Where there are two houses in a State’s Legislature:
One house is called the Legislary Council.
The other house is called the Legislary Assembly.
Where there is only one house, it is known as the Legislary Assembly."
169,"169. Abolition or creation of Legislative Councils in States
 (1) Notwithstanding anything in Article 168, Parliament may by law provide for the abolition of the Legislative Council of a State having such a Council or for the creation of such a Council in a State having no such Council, if the Legislative Assembly of the State passes a resolution to that effect by a majority of the total membership of the Assembly and by a majority of not less than two thirds of the members of the Assembly present and voting
 (2) Any law referred to in clause ( 1 ) shall contain such provisions for the amendment of this Constitution as may be necessary to give effect to the provisions of the law and may also contain such supplemental, incidental and consequential provisions as Parliament may deem necessary
 (3) No such law as aforesaid shall be deemed to be an amendment of this Constitution for the purposes of Article 368",Article 169: Abolition or Creation of Legislative Councils in States,"(1) Abolition or Creation of Legislative Council:
Despite what is mentioned in Article 168, Parliament can pass a law to either:

Abolish the Legislative Council in a State that currently has one, or
Create a Legislative Council in a State that does not have one.
However, this can only happen if:

The Legislative Assembly of the State passes a resolution to this effect.
The resolution must be passed by:
A majority of the total membership of the Assembly, and
A majority of at least two-thirds of the members present and voting.
(2) Provisions of the Law:
The law passed by Parliament for creating or abolishing a Legislative Council will:
Include any necessary changes to the Constitution to implement the law.
May also contain any supplementary or incidental provisions Parliament deems necessary.
(3) Not an Amendment of the Constitution:
Any law made under this article will not be treated as an amendment of the Constitution for the purposes of Article 368 (which deals with the procedure for amending the Constitution)."
170,"170. Composition of the Legislative Assemblies
 (1) Subject to the provisions of Article 333, the Legislative Assembly of each State shall consist of not more than five hundred, and not less than sixty, members chosen by direct election from territorial constituencies in the State
 (2) For the purposes of clause ( 1 ), each State shall be divided into territorial constituencies in such manner that the ratio between the population of each constituency and the number of seats allotted to it shall, so far as practicable, be the same throughout the State Explanation In this clause, the expression population means the population as ascertained at the last preceding census of which the relevant figures have been published: Provided that the reference in this Explanation to the last preceding census of which the relevant figures have been published shall, until the relevant figures for the first census taken after the year 2000 have been published, be construed as a reference to the 1971 census
 (3) Upon the completion of each census, the total number of seats in the Legislative Assembly of each State and the division of each State into territorial constituencies shall be readjusted by such authority and in such manner as Parliament may by law determine: Provided that such readjustment shall not affect representation in the Legislative Assembly until the dissolution of the then existing Assembly: Provided further that such readjustment shall take effect from such date as the President may, by order, specify and until such readjustment takes effect, any election to the Legislative Assembly may be held on the basis of the territorial constituencies existing before such readjustment: Provided also that until the relevant figures for the first census taken after the year 2000 have been published, it shall not be necessary to readjust the total number of seats in the Legislative Assembly of each State and the division of such State into territorial constituencies under this clause",Article 170: Composition of the Legislative Assemblies,"(1) Number of Members:
Each State’s Legislative Assembly will have:
Not more than 500 members, and
Not fewer than 60 members.
These members are directly elected from territorial constituencies within the State.
(2) Division into Constituencies:
Each State will be divided into territorial constituencies for elections.
The division should ensure that the ratio between the population of each constituency and the number of seats allocated to it is as equal as possible throughout the State.
Explanation:
The population refers to the population as determined by the most recent census whose figures have been published.
Until the first census after the year 2000 is published, the population will be based on the 1971 census.
(3) Readjustment of Seats and Constituencies:
After every census, the total number of seats and the division of constituencies in the Legislative Assembly must be readjusted.
The readjustment will be done by an authority determined by Parliament, as specified by law.
Key Provisions:
The readjustment will not affect the current Assembly until it is dissolved.
The readjustment will take effect from a date specified by the President.
Until the new readjustment takes effect, elections can still be held based on the old constituencies.
Until the first census after 2000 is available, no readjustment of seats or constituencies is necessary.
"
171,"171. Composition of the Legislative Councils
 (1) The total number of members in the Legislative Council of a State having such a Council shall not exceed one third of the total number of members in the Legislative Assembly of that State: Provided that the total number of members in the Legislative Council of a State shall in no case be less than forty
 (2) Until Parliament by law otherwise provides, the composition of the Legislative Council of a State shall be as provided in clause ( 3 )
 (3) Of the total number of members of the Legislative council of a State
 (a) as nearly as may be, one third shall be elected by electorates consisting of members of municipalities, district boards and such other local authorities in the State as Parliament may by law specify;
 (b) as nearly as may be, one twelfth shall be elected by electorates consisting of persons residing in the State who have been for at least three years graduates of any university in the territory of India or have been for at least three years in possession of qualifications prescribed by or under any law made by Parliament as equivalent to that of a graduate of any such university;
 (c) as nearly as may be, one twelfth shall be elected by electorates consisting of persons who have been for at least three years engaged in teaching in such educational institutions within the State, not lower in standard than that of a secondary school, as may be prescribed by or under any law made by Parliament;
 (d) as nearly as may be, one third shall be elected by the members of the Legislative Assembly of the State from amongst persons who are not members of the Assembly;
 (e) the remainder shall be nominated by the Governor in accordance with the provisions of clause ( 5 )
 (4) The members to be elected under sub clauses (a), (b) and (c) of clause ( 3 ) shall be chosen in such territorial constituencies as may be prescribed by or under any law made by Parliament, and the election under the said sub clauses and under sub clause (d) of the said clause shall be held in accordance with the system of proportional representation by means of the single transferable vote
 (5) The members to be nominated by the Governor under sub clause (e) of clause ( 3 ) shall consist of persons having special knowledge or practical experience in respect of such matters as the following, namely: Literature, science, art, co operative movement and social service",Article 171: Composition of the Legislative Councils,"(1) Number of Members in the Legislative Council:
The total number of members in a State’s Legislative Council (if the State has one) cannot exceed one-third of the total members in that State’s Legislative Assembly.
However, the Legislative Council must have at least 40 members, no matter the size of the Assembly.
(2) Composition as per Law:
Until Parliament makes a law to change it, the composition of the Legislative Council will be as provided in clause (3).
(3) Breakdown of the Legislative Council Members:
The members of the Legislative Council will be elected or nominated in the following way:

One-third of the members will be elected by electorates consisting of members from:

Municipalities,
District boards, and
Other local authorities specified by Parliament.
One-twelfth of the members will be elected by electorates consisting of:

Graduates who have been living in the State for at least three years and are graduates from any Indian university or hold qualifications equivalent to a graduate degree under laws made by Parliament.
One-twelfth of the members will be elected by electorates consisting of:

Teachers who have been engaged in teaching in institutions that are not lower than a secondary school, and who have been doing so for three years.
One-third of the members will be elected by the members of the Legislative Assembly of the State. These elected members cannot already be part of the Assembly.

The remaining members will be nominated by the Governor. The Governor nominates people with special knowledge or practical experience in areas such as:

Literature,
Science,
Art,
Cooperative movement, and
Social service.
(4) Method of Election:
The members elected under clauses (a), (b), and (c) will be chosen in territorial constituencies as prescribed by Parliament.
Elections will be held using the proportional representation system through the single transferable vote (STV) system, which ensures that the votes are distributed proportionally.
(5) Nominated Members:
The members nominated by the Governor will be people with special expertise or practical experience in areas like:
Literature,
Science,
Art,
Cooperative movements, and
Social services."
172,"172. Duration of State Legislatures
 (1) Every Legislative Assembly of every State, unless sooner dissolved, shall continue for five years from the date appointed for its first meeting and no longer and the expiration of the said period of five years shall operate as a dissolution of the Assembly: Provided that the said period may, while a Proclamation of Emergency is in operation, be extended by Parliament by law for a period not exceeding one year at a time and not extending in any case beyond a period of six months after the Proclamation has ceased to operate",Article 172: Duration of State Legislatures,"A Legislative Assembly in a state lasts for five years from its first meeting unless it is dissolved sooner.
If a state emergency is in place, Parliament can extend this period by one year at a time but not beyond six months after the emergency ends."
173,"173. Qualification for membership of the State Legislature A person shall not be qualified to be chosen to fill a seat in the Legislature of a State unless he
 (a) is a citizen of India, and makes and subscribes before some person authorised in that behalf by the Election Commission an oath or affirmation according to the form set out for the purpose in the Third Schedule;
 (b) is, in the case of a seat in the Legislative Assembly, not less than twenty five years of age and in the case of a seat in the Legislative Council, not less than thirty years of age; and
 (c) possesses such other qualifications as may be prescribed in that behalf by or under any law made by Parliament",Article 173: Qualification for Membership of the State Legislature,"To become a member of a State Legislature, a person must:
Be a citizen of India.
Be 25 years old for a Legislative Assembly seat and 30 years old for a Legislative Council seat.
Meet any additional qualifications set by law."
174,"174. Sessions of the State Legislature, prorogation and dissolution
 (1) The Governor shall from time to time summon the House or each House of the Legislature of the State to meet at such time and place as he thinks fit, but six months shall not intervene between its last sitting in one session and the date appointed for its first sitting in the next session
 (2) The Governor may from time to time
 (a) Prorogue the House or either House;
 (b) dissolve the Legislative Assembly","Article 174: Sessions of the State Legislature, Prorogation and Dissolution","(1) Summoning the Legislature:
The Governor is responsible for summoning the House or both Houses of the State Legislature to meet at times and places of his choosing. However, there are time limits:
There must not be a gap of more than six months between the last sitting of the Legislature in one session and the first sitting of the next session.
(2) Prorogation and Dissolution:
The Governor has the authority to take the following actions:

Prorogue the House or either of the Houses. (Prorogation is the formal ending of a session of the Legislature without dissolving it.)
Dissolve the Legislative Assembly (Dissolution refers to the formal termination of the current Legislature, leading to new elections for members).
"
175,"175. Right of Governor to address and send messages to the House or Houses
 (1) The Governor may address the Legislative Assembly or, in the case of a State having a Legislative Council, either House of the Legislature of the State, or both Houses assembled together, and may for that purpose require the attendance of members
 (2) The Governor may sent messages to the House or Houses of the Legislature of the State, whether with respect to a Bill then pending in the Legislature or otherwise, and a House to which any message is so sent shall with all convenient dispatch consider any matter required by the message to be taken into consideration",Article 175: Right of Governor to Address and Send Messages to the Legislature,"The Governor can address the Legislative Assembly or both Houses of the Legislature.
The Governor can also send messages to the Legislature, and the members must consider the matters raised in the message.
"
176,"176. Special address by the Governor
 (1) At the commencement of the first session after each general election to the Legislative Assembly and at the commencement of the first session of each year, the Governor shall address the Legislative Assembly or, in the case of a State having a Legislative Council, both House assembled together and inform the Legislature of the causes of its summons
 (2) Provision shall be made by the rules regulating the procedure of the House or either House for the allotment of time for discussion of the matters referred to in such address",Article 176: Special Address by the Governor,"After each general election and at the start of every year, the Governor addresses the State Legislature, informing it of the reasons for the session."
177,"177. Rights of Ministers and Advocate General as respects the Houses Every Minister and the Advocate General for a State shall have the right to speak in, and otherwise to take part in the proceedings of, the legislative Assembly of the State or, in the case of a State having a Legislative Council, both Houses, and to speak in, and otherwise to take part in the proceedings of, any committee of the Legislature of which he may be named a member, but shall not, by virtue of this article, be entitled to vote Officers of the State Legislature",Article 177: Rights of Ministers and Advocate General,"Ministers and the Advocate General can speak in the State Legislature and participate in its proceedings but cannot vote unless they are also members of the Legislature.
"
