Article Number,Article,Title,Description
52,52. The President of India There shall be a President of India,Article 52: Definition of President,There shall be a President of India
53,"53. Executive power of the Union
 (1) The executive power of the Union shall be vested in the President and shall be exercised by him either directly or through officers subordinate to him in accordance with this Constitution
 (2) Without prejudice to the generality of the foregoing provision, the supreme command of the Defence Forces of the Union shall be vested in the President and the exercise thereof shall be regulated by law
 (3) Nothing in this article shall
 (a) be deemed to transfer to the President any functions conferred by any existing law on the Government of any State or other authority; or
 (b) prevent Parliament from conferring by law functions on authorities other than the President",Article 53: Powers of the President,"The President is in charge of running the country’s government, but they don’t have to do everything themselves. They can have officers or officials help them, as long as everything follows the Constitution.
The President is also the head of the army, navy, and air force, but how they use this power is decided by laws made by the government.
The President doesn’t control everything:
(a) If there’s a job or responsibility that belongs to the state governments or other authorities, the President doesn’t take over.
(b) Parliament (the people who make the laws) can also give jobs or powers to other people or groups, not just the President."
54,54. Election of President The President shall be elected by the members of an electoral college consisting of the elected members of both Houses of Parliament; and the elected members of the Legislative Assemblies of the States,Article 54: Election of the President,"The President is chosen by an electoral college, which includes elected members of Parliament (both Houses) and elected members of State Legislative Assemblies."
55,"55. Manner of election of President
 (1) As far as practicable, there shall be uniformity in the scale of representation of the d different States at the election of the President
 (2) For the purpose of securing such uniformity among the States inter se as well as parity b between the States as a whole and the Union, the number of votes which each elected member of Parliament and of the Legislative Assembly of each State is entitled to cast at such election shall be determined in the following manner:
 (a) every elected member of the Legislative Assembly of a State shall have as many votes as there are multiples of one thousand in the quotient obtained by dividing the population of the State by the total number of the elected members of the Assembly;
 (b) if, after taking the said multiples of one thousand, the remainder is not less than five hundred, then the vote of each member referred to in sub clause (a) shall be further increased by one;
 (c) each elected member of either House of Parliament shall have such number of votes as may be obtained by dividing the total number of votes assigned to the members of the Legislative Assemblies of the States under sub clause (a) and (b) by the total number of the elected members of both Houses of Parliament, fractions exceeding one half being counted as one and other fractions being disregarded
 (3) The election of the President shall be held in accordance with the system of proportional representation by means of the single transferable vote and the voting at such election shall be by secret ballot Explanation n this article, the expression population means the population ascertained at the last preceding census of which the relevant figures have been published: Provided that the reference in this Explanation to the last preceding census of which the relevant figures have been published shall, until the relevant figures for the first census taken after the year 2000 have been published, be construed as a reference to the 1971 census",Article 55: Manner of Election of President,"Votes are distributed fairly among states, ensuring balance in representation.
The number of votes each voter has depends on the state’s population and its assembly size. The formula is:
Each MLA gets votes based on the state’s population divided by the number of MLAs.
If there’s a remainder of 500 or more, they get one extra vote.
MPs get votes calculated by dividing the total MLA votes by the total number of MPs.
The election uses a proportional voting system, with a secret ballot."
56,"56. Term of office of President
 (1) The President shall hold office for a term of five years from the date on which he enters upon his office: Provided that
 (a) the President may, by writing under his hand addressed to the Vice President, resign his office;
 (b) the President may, for violation of the constitution, be removed from office by impeachment in the manner provided in Article 61:
 (c) the President shall, notwithstanding the expiration of his term, continue to hold office until his successor enters upon his office
 (2) Any resignation addressed to the Vice President under clause (a) of the proviso to clause ( 1 ) shall forthwith be communicated by him to the Speaker of the House of the People",Article 56: Term of Office of President,"The President serves for 5 years from the day they start but can:
Resign by writing to the Vice President.
Be removed for violating the Constitution (through impeachment).
Stay in office until the next President takes over, even if their term ends.
If the President resigns, the Vice President must inform the Speaker of the Lok Sabha."
57,"57. Eligibility for re election A person who holds, or who has held, office as President shall, subject to the other provisions of this Constitution, be eligible for re election to that office",Article 57: Eligibility for Re-election,"Anyone who has been President can run for the position again, as long as they meet the eligibility criteria."
58,"58. Qualifications for election as President
 (1) No person shall be eligible for election as President unless he
 (a) is a citizen of India,
 (b) has completed the age of thirty five years, and
 (c) is qualified for election as a member of the House of the People
 (2) A person shall not be eligible for election as President if he holds any office of profit under the or the Government of any State or under any local or other authority subject to the control of any of the said Governments Explanation For the purposes of this article, a person shall not be deemed to hold any office of profit by reason only that he is the President or Vice President of the Union or the Governor of any State or is a Minister either for the Union or for any State",Article 58: Qualifications for Election as President,"To become President, a person must:

Be a citizen of India.
Be at least 35 years old.
Qualify to be a Lok Sabha member.
Not hold any job that earns money from the government (except roles like Governor, Vice President, or Minister)."
59,"59. Conditions of Presidents office
 (1) The President shall not be a member of either House of Parliament or of a House of the Legislature of any State, and if a member of either House of Parliament or of a House of the Legislature of any State be elected President, he shall be deemed to have vacated his seat in that House on the date on which he enters upon his office as President
 (2) The President shall not hold any other office of profit
 (3) The President shall be entitled without payment of rent to the use of his official residences and shall be also entitled to such emoluments, allowances and privileges as may be determined by Parliament by law and, until provision in that behalf is so made, such emoluments, allowances and privileges as are specified in the Second Schedule
 (4) The emoluments and allowances of the President shall ot be diminished during his term of office",Article 59: Conditions of President’s Office,"The President cannot be a member of Parliament or a State Legislature. If elected, they must leave their seat.
The President cannot hold any other paid job.
They get free housing and a salary decided by Parliament, which cannot be reduced during their term."
60,"60. Oath or affirmation by the President Every President and every person acting as President or discharging the functions of the President shall, before entering upon his office, make and subscribe in the presence of the Chief Justice of India or, in his absence, the senior most Judge of the Supreme Court available, an oath or affirmation in the following form, that is to say swear in the name of God I, A B, do that I olemnly affirm will faithfully execute the office of President (or discharge the functions of thePresident) of India and will do the best of my ability preserve, protect and defend the Constitution and the law and that I will devote myself to the service and well being of the people of India",Article 60: Oath or Affirmation by the President,"Before starting the job, the President promises to protect the Constitution and serve the country. The Chief Justice of India (or the next senior judge) oversees the oath."
61,"61. Procedure for impeachment of the President
 (1) When a President is to be impeached for violation of the Constitution, the charge shall be preferred by either House of Parliament
 (2) No such charge shall be preferred unless
 (a) the proposal to prefer such charge is contained in a resolution which has been moved after at least fourteen days notice in writing signed by not less than one fourth of the total number of members of the House has been given of their intention to move the resolution, and
 (b) such resolution has been passed by a majority of not less than two thirds of the total membership of the House
 (3) When a charge has been so preferred by either House of Parliament, the other House shall investigate the charge or cause the charge to be investigated and the President shall have the right to appear and to be represented as such investigation
 (4) If as a result of the investigation a resolution is passed by a majority of not less than two thirds of the total membership of the House by which the charge was investigated or cause to be investigated, declaring that the charge preferred against the President has been sustained, such resolution shall have the effect of removing the President from his office as from the date on which the resolution is so passed",Article 61: Impeachment of the President,"The President can be impeached if they break the Constitution.
Steps for impeachment:
At least 1/4th of the members of a House must sign a notice proposing impeachment.
The notice must be passed by 2/3rd of the members of that House.
The other House investigates the charges, and the President can defend themselves.
If 2/3rd of the second House agrees, the President is removed."
62,"62. Time of holding election to fill vacancy in the office of President and the term of office of person elected to fill casual vacancy
 (1) An election to fill a vacancy caused by the expiration of the term of office of President shall be completed before the expiration of the term
 (2) An election to fill a vacancy in the office of President occurring by reason of his death, resignation or removal, or otherwise shall be held as soon as possible after, and in no case later than six months from, the date of occurrence of the vacancy, and the person elected to fill the vacancy shall, subject to the provisions of Article 56, be entitled to hold office for the full term of five years from the date on which he enters upon his office",Article 62: Filling Presidential Vacancies,"If the President’s term is ending, an election must happen before it ends.
If the office is vacated early (death, resignation, removal), an election must happen within six months. The new President serves a full 5-year term."
63,63. The Vice President of India There shall be a Vice President of India,Article 63: Vice President of India,"India will have a Vice President.

 "
64,"64. The Vice President to be ex officio Chairman of the council of States The Vice President shall be ex officio chairman of the counsel of States and shall not hold any other office of profit: Provided that during any period when the Vice President acts as President or discharges the functions of the President under Article 65, he shall not perform the duties of the office of chairman of the council of States and shall not be entitled to any salary or allowance payable to the chairman of the council of States under Article 97",Article 64: Vice President as Rajya Sabha Chairman,"The Vice President automatically becomes the Chairman of the Rajya Sabha. If they act as President temporarily, they don’t perform their duties as Chairman during that time.

"
65,"65. The Vice President to act as President or to discharge his functions during casual vacancies in the office, or during the absence, of President
 (1) In the event of the occurrence of any vacancy in the office of the President by reason of his death, resignation or removal, or otherwise, the Vice President shall act as President until the date on which a new President elected in accordance with the provisions of this Chapter to fill such vacancy enters upon his office
 (2) When the President is unable to discharge his functions owing to absence, illness or any other cause, the Vice President shall discharge his functions until the date on which the President resumes his duties
 (3) The Vice President shall, during, and in respect of, the period while he is so acting as, or discharging the functions of, President, have all the powers and immunities of the President and be entitled to such emoluments, allowances and privileges as may be determined by Parliament by law and, until provision in that behalf is so made, such emoluments, allowances and privileges as are specified in the Second Schedule",Article 65: Vice President as Acting President,"If the President’s position is vacant, the Vice President takes over until a new President is elected.
If the President is temporarily unable to work (due to illness, etc.), the Vice President handles their duties."
66,"66. Election of Vice President
 (1) The Vice President shall be elected by the members of an electoral college consisting of the members of both Houses of Parliament in accordance with the system of proportional representation by means of the single transferable vote and the voting at such election shall be by secret ballot
 (2) The Vice President shall not be a member of either House of Parliament or of a House of the Legislature of any State, and if a member of either House of Parliament or of a House of the Legislature of any State be elected Vice President, he shall be deemed to have vacated his seat in that House on the date on which he enters upon his office as Vice President
 (3) No person shall be eligible for election as Vice President unless he
 (a) is a citizen of India;
 (b) has completed the age of thirty five years;
 (c) is qualified for election as a member of the Council of States
 (4) A person shall not be eligible for election as Vice President if he holds any office of profit under the Government of India or the Government of any State or under any local or other authority subject to the control of any of the said Governments Explanation For the purposes of this article, a person shall not be deemed to hold any office of profit by reason only that he is the President or Vice President of the Union or the Governor of any State or is a Minister either for the Union or for any State",Article 66: Election of Vice President,"The Vice President is elected by an electoral college consisting of members of both Houses of Parliament. The election uses proportional representation and secret voting.
The Vice President cannot be a member of Parliament or a State Legislature. If elected, they must vacate their seat.
To qualify, a candidate must:
Be a citizen of India.
Be at least 35 years old.
Qualify to be a Rajya Sabha member.
Not hold any paid government job."
67,"67. Term of office of Vice President The Vice President shall hold office for a term of five years from the date on which he enters upon his office: Provided that
 (a) a Vice President may, by writing under his hand addressed to the President, resign his office;
 (b) a Vice President may be removed from his office by a resolution of the council of States passed by a majority of all the then members of the council and agreed to by the House of the People; but no resolution for the purpose of this clause shall be moved unless at least fourteen days notice has been given of the intention to move the reso
 (c) a Vice President shall, notwithstanding the expiration of his term, continue to hold office until his successor enters upon his office",Article 67: Term of Office of Vice President,"The Vice President serves for 5 years but can:
Resign by writing to the President.
Be removed by a resolution passed by the Rajya Sabha and agreed upon by the Lok Sabha (14 days' notice required).
Stay in office until their successor takes over.
"
68,"68. Time of holding election to fill vacancy in the office of Vice President and the term of office of person elected to fill casual vacancy
 (1) An election to fill a vacancy caused by the expiration of the term of office of Vice President shall be completed before the expiration of the term
 (2) An election to fill a vacancy in the office of Vice President occurring by reason of his death, resignation or removal, or otherwise shall be held as soon as possible after the occurrence of the vacancy, and the person elected to fill the vacancy shall, subject to the provisions of Article 67, be entitled to hold office for the full term of five years from the date on which he enters upon his office",Article 68: Filling Vice President Vacancies,"If the Vice President’s term is ending, an election must happen before it ends.
If the position becomes vacant early, an election must happen quickly. The new Vice President serves a full 5-year term.
"
69,"69. Oath or affirmation by the Vice President Every Vice President shall, before entering upon his office, make and subscribe before the President, or some person appointed in that behalf by him, an oath or affirmation in the following form, that is to say swear in the name of God I, A B, do that solemnly affirm will bear true faith, and allegiance to the Constitution of India as by law established and that I will faithfully discharge the duty upon which I am about to enter",Article 69: Oath by Vice President,"The Vice President takes an oath before the President to uphold the Constitution and fulfill their duties faithfully.

"
70,70. Discharge of Presidents functions in other contingencies Parliament may make such provision as if thinks fit for the discharge of the functions of the President in any contingency not provided for in this Chapter,Article 70: Other Presidential Contingencies,"If something unusual happens that isn’t covered (e.g., who takes over if both the President and Vice President are unavailable), Parliament can make laws to decide what to do."
