Article Number,Article,Title,Description
79,79. Constitution of Parliament There shall be a Parliament for the Union which shall consist of the President and two Houses to be known respectively as the council of States and the House of the People,Article 79 - The Constitution of Parliament,"India’s Parliament consists of:
The President of India.
Two Houses:
Council of States (Rajya Sabha).
House of the People (Lok Sabha).
"
80,"80. Composition of the Council of States
 (1) The Council of States shall consist of
 (a) twelve members to be nominated by the President in accordance with the provisions of clause ( 3 ); and
 (b) not more than two hundred and thirty eight representatives of the States and of the Union territories
 (2) The allocation of seats in the Council of States to be filled by representatives of the States and of the Union territories shall be in accordance with the provisions in that behalf contained in the fourth Schedule
 (3) The members to be nominated by the President under sub clause (a) of clause ( 1 ) shall consist of persons having special knowledge or practical experience in respect of such matters as the following, namely: Literature, science, art and social service
 (4) The representatives of each State in the council of States shall be elected by the elected members of the Legislative Assembly of the State in accordance with the system of proportional representation by means of the single transferable vote
 (5) The representatives of the Union Territories in the council of States shall be chosen in such manner as Parliament may by law prescribe",Article 80 - Composition of the Council of States (Rajya Sabha),"The Rajya Sabha has two types of members:

Nominated Members:
The President selects 12 members who are experts in fields like literature, science, art, or social service.
Elected Members:
Not more than 238 members are chosen to represent States and Union Territories.
Seats for States and Union Territories:

The number of seats for each State and Union Territory is listed in the Fourth Schedule of the Constitution.
How Members Are Chosen:

For States:
Members are elected by the State’s Legislative Assembly through proportional representation using the single transferable vote system.
For Union Territories:
Parliament decides the method of selection."
81,"81. Composition of the House of the People
 (1) Subject to the provisions of Article 331 the House of the People shall consist of
 (a) not more than five hundred and thirty members chosen by direct election from territorial constituencies in the States, and
 (b) not more than twenty members to represent the Union territories, chosen in such manner as parliament may by law provide
 (2) For the purposes of sub clause (a) of clause ( 1 ) (a) there shall be allotted to each State a number of seats in the House of the People in such manner that the ratio between that number and the population of the State is, so far as practicable, the same for all States; and
 (b) each State shall be divided into territorial constituencies in such manner that the ratio between the population of each constituency and th number of seats allotted to it is, so far as practicable, the same throughout the State: Provided that the provisions of sub clause (a) of this clause shall not be applicable for the purpose of allotment of seats in the House of the People to any State so long as the population of that State does not exceed six millions
 (3) In this article, the expression population means the population as ascertained at the last preceding census of which the relevant figures have been published: Provided that the reference in this clause to the last preceding census of which the relevant figures have been published shall, until the relevant figures for the first census taken after the year 2000 have been published, be construed as a reference to the 1971 census",Article 81 - Composition of the House of the People (Lok Sabha),"The Lok Sabha has:

Directly Elected Members:
Not more than 530 members are elected directly from the States.
Union Territory Representatives:
Not more than 20 members represent the Union Territories, chosen in a way decided by Parliament.
Allotment of Seats and Constituencies:

Each State gets a number of seats based on its population, ensuring fairness across all States.
States are divided into areas called territorial constituencies, and each constituency’s population is roughly equal.
Exceptions for Small States:

States with a population under 6 million don’t follow these rules strictly.
Population for Allotment:

Population data comes from the 1971 census, until new census figures are published after the year 2000."
82,"82. Readjustment after each census Upon the completion of each census, the allocation of seats in the House of the People to the States and the division of each State into territorial constituencies shall be readjusted by such authority and in such manner as Parliament may by law determine: Provided that such readjustment shall not affect representation in the House of the People until the dissolution of the then existing House: Provided further that such readjustment shall take effect from such date as President may, by order, specify and until such readjustment takes effect, any election to the House may be held on the basis of the territorial constituencies existing before such readjustment: Provided also that until the relevant figures for the first census taken after the year 2000 have been published, it shall not be necessary to readjust the allocation of seats in the House of the People to the States and the division of each State into territorial constituencies under this article",Article 82 - Readjustment After Each Census,"After every census, Parliament decides how to:

Reassign the number of seats for each State in the Lok Sabha.
Redraw constituency boundaries within each State.
Timing:

Any changes will only apply after the current Lok Sabha’s term ends.
These adjustments come into effect on a date chosen by the President.
Special Provision for Post-2000 Census:

Until data from a census after 2000 is published, no changes are required in seat allocation or constituency boundaries."
83,"83. Duration of Houses of Parliament
 (1) The council of States shall not be subject to dissolution, but as nearly as possible one third of the members thereof shall retire as soon as may be on the expiration of every second year in accordance with the provisions made in that behalf by Parliament by law
 (2) The House of the People, unless sooner dissolved, shall continue for five years from the date appointed for its first meeting and no longer and the expiration of the said period of five years shall operate as a dissolution of the House: Provided that the said period may, while a Proclamation of Emergency is in operation, be extended by Parliament by law for a period not exceeding one year as a time and not extending in any case beyond a period of six months after s the Proclamation has ceased to operate",Article 83 - Duration of the Houses of Parliament,"Rajya Sabha (Council of States):

It is a permanent body and never dissolves.
However, one-third of its members retire every two years, and new members are elected or nominated to replace them.
Lok Sabha (House of the People):

Its term is 5 years, starting from its first meeting, unless dissolved earlier.
During a national emergency, its term can be extended by Parliament:
By 1 year at a time.
The extension cannot go beyond 6 months after the emergency ends."
84,"84. Qualification for membership of Parliament A person shall not be qualified to be chosen to fill a seat in Parliament unless he
 (a) is a citizen of India, and makes and subscribes before some person authorised in that behalf by the Election Commission an oath or affirmation according to the form set out for the purpose in the Third Schedule;
 (b) is, in the case of a seat in the Council of States, not less than thirty years of age and, in the case of a seat in the House of the People, not less than twenty five years of age; and
 (c) possesses such other qualifications as may be prescribed in that behalf by or under any law made by Parliament",Article 84 - Qualification for Membership of Parliament,"To become a member of Parliament, a person must:

Be a Citizen of India:
The person must take an oath or affirmation as prescribed in the Third Schedule of the Constitution.
Meet the Age Requirement:
For Rajya Sabha: At least 30 years old.
For Lok Sabha: At least 25 years old.
Other Qualifications:
Parliament may pass laws specifying additional qualifications for eligibility."
85,"85. Sessions of Parliament, prorogation and dissolution
 (1) The President shall form time to time summon each House of Parliament to meet at such time and place as he thinks fit, but six months shall not intervene between its last sitting in one session and the date appointed for its first sitting in the next session
 (2) The President may from time to time
 (a) prorogue the Houses or either House;
 (b) dissolve the House of the People","Article 85 - Sessions of Parliament, Prorogation, and Dissolution","Summoning of Sessions:
The President decides when and where Parliament will meet, but there cannot be more than 6 months between the last sitting of one session and the first sitting of the next.
Prorogation and Dissolution:
The President can:
Prorogue (end a session) either or both Houses.
Dissolve the Lok Sabha (House of the People), which ends its term.
"
86,"86. Right of President to address and send messages to Houses
 (1) The President may address either House of Parliament or both Houses assembled together, and for that purpose require the attendance of members
 (2) The President may send messages to either House of Parliament, whether with respect to a Bill then pending in Parliament or otherwise, and a House to which any message is so sent shall with all convenient dispatch consider any matter required by the message to be taken into consideration",Article 86 - Right of the President to Address and Send Messages,"Addressing Parliament:
The President can address either House or both Houses together and can require members to attend for this purpose.
Sending Messages:
The President can send messages to either House about a Bill or other matters.
The House must consider the message quickly.
"
87,"87. Special address by the President
 (1) At the commencement of the first session after each general election to the House of the People and at the commencement of the first session of each year the President shall address both Houses of Parliament assembled together and inform Parliament of the causes of its summons
 (2) Provision shall be made by rules regulating the procedure of either House for the allotment of time for discussion of the matters referred to in such address",Article 87 - Special Address by the President,"Occasions for Special Address:
At the start of the first session after a general election to the Lok Sabha.
At the start of the first session each year.
Contents:
The President explains why Parliament has been summoned.
Discussion of the Address:
Rules are made to allow time for discussion of the matters mentioned in the address.
"
88,"88. Rights of Ministers and Attorney General in respects Houses Every Minister and the Attorney General of India shall have the right to speak in, and otherwise to take part in the proceedings of either House, any joint sitting of the Houses, and any committee of Parliament of which he may be named a member, but shall not by virtue of this article be entitled to vote Officers of Parliament",Article 88 - Rights of Ministers and Attorney General in Parliament,"Who Can Participate:
Ministers and the Attorney General of India can:
Speak in any House of Parliament, joint sittings, or committees where they are members.
They cannot vote unless they are elected members of the respective House.
"
