Article Number,Article,Title,Description
124,"124. Establishment and constitution of Supreme Court
 (1) There shall be a Supreme Court of India constituting of a Chief Justice of India and, until Parliament by law prescribes a larger number, of not more than seven other Judges
 (2) Every Judge of the Supreme Court shall be appointed by the President by warrant under his hand and seal after consultation with such of the Judges of the Supreme Court and of the High Courts in the States as the President may deem necessary for the purpose and shall hold office until he attains the age of sixty five years: Provided that in the case of appointment of a Judge other than the chief Justice, the chief Justice of India shall always be consulted:
 (a) a Judge may, by writing under his hand addressed to the President, resign his office;
 (b) a Judge may be removed rom his office in the manner provided in clause ( 4 )
2A. The age of a Judge of the Supreme Court shall be determined by such authority and in such manner as Parliament may by law provide
 (3) A person shall not be qualified for appointment as a Judge of the Supreme Court unless he is a citizen of India and
 (a) has been for at least five years a Judge of a High Court or of two or more such Courts in succession; or
 (b) has been for at least ten years an advocate of a High Court or of two or more such Courts in succession; or
 (c) is, in the opinion of the President, a distinguished jurist Explanation I In this clause High Court means a High Court which exercises, or which at any time before the commencement of this Constitution exercised, jurisdiction in any part of the territory of India Explanation II In computing for the purpose of this clause the period during which a person has been an advocate, any period during which a person has held judicial office not inferior to that of a district judge after he became an advocate shall be included
 (4) A Judge of the Supreme Court shall not be removed from his office except by an order of the President passed after an address by each House of Parliament supported by a majority of the total membership of that House and by a majority of not less than two third of the members of the House present and voting has been presented to the President in the same session for such removal on the ground of proved misbehaviour or incapacity
 (5) Parliament may by law regulate the procedure for the presentation of an address and for the investigation and proof of the misbehaviour or incapacity of a Judge under clause ( 4 ):
 (6) Every person appointed to be a Judge of the Supreme Court shall, before he enters upon his office, make and subscribe before the President, or some person appointed in that behalf by him, an oath or affirmation according to the form set out for the purpose in the Third Schedule
 (7) No person who has held office as a Judge of the Supreme Court shall plead or act in any court or before any authority within the territory of India",Article 124: Establishment and Constitution of the Supreme Court of India,"This article outlines the establishment, constitution, and appointment procedures for the Supreme Court of India.

Clause 1: Establishment of the Supreme Court
Supreme Court: The highest judicial authority in India, which shall be established by the Constitution.
Composition:
The Chief Justice of India (CJI) is the head of the Supreme Court.
Until Parliament decides to increase the number, the Supreme Court will have no more than seven other judges, aside from the Chief Justice.
Clause 2: Appointment of Judges
The President of India appoints all Judges of the Supreme Court through a formal process.
The President consults with the Judges of the Supreme Court and High Courts before making the appointment, to ensure fairness and due process.
A Judge will hold office until the age of 65.
Consultation with CJI: For appointing a judge other than the Chief Justice, the Chief Justice of India must always be consulted.
A judge can resign by writing a resignation letter addressed to the President.
A judge can be removed from office under clause 4.
Clause 2A: Determining the Age of a Judge
Parliament may make a law to determine the age of a Supreme Court Judge through a specified authority and method.
Clause 3: Qualifications for Appointment
A person must meet one of the following criteria to be appointed as a Supreme Court Judge:

Judge of a High Court:

Must have served for at least five years as a judge in a High Court, or served as a judge in two or more High Courts in succession.
Advocate in a High Court:

Must have been an advocate for at least ten years in a High Court, or in two or more High Courts in succession.
Distinguished Jurist:

In the President’s opinion, the person must be a distinguished jurist, someone who has contributed notably to the field of law.
Explanation:

The term High Court includes any High Court that has exercised jurisdiction in any part of India's territory, even before the Constitution came into effect.
If a person has held a judicial office equivalent to that of a district judge after becoming an advocate, this period can be counted as part of the ten years of being an advocate.
Clause 4: Removal of Judges
A Supreme Court Judge cannot be removed from office unless:
An address is presented to the President by both Houses of Parliament.
The address must be supported by a majority of the total membership of each House.
Additionally, two-thirds of the members present and voting in both Houses must support the address.
The removal is based on proved misbehaviour or incapacity.
Clause 5: Regulation of Procedure
Parliament may make a law to regulate:
The procedure for presenting an address to the President for removal.
The procedure for investigating and proving misbehaviour or incapacity of a Judge.
Clause 6: Oath or Affirmation
Before starting their duties, every appointed Supreme Court Judge must take an oath or affirmation before the President or someone appointed by the President.
The oath is according to the form specified in the Third Schedule of the Constitution.
Clause 7: Restrictions After Retirement
A person who has served as a Judge of the Supreme Court cannot plead or act in any court or before any authority within India once they retire. This is to ensure independence and impartiality of the judiciary."
125,"125. Salaries, etc, of Judges
 (1) There shall be paid to the Judges of the Supreme Court such salaries as may be determined by Parliament by law and, until provision in that behalf is so made, such salaries as are specified in the Second Schedule
 (2) Every Judge shall be entitled to such privileges and allowances and to such rights in respect of leave of absence and pension as may from time to time be determined by or under law made by Parliament and, until so determined, to such privileges, allowances and rights as are specified in the Second Schedule: Provided that neither the privileges nor the allowances of a Judge nor his rights in respect of leave of absence or pension shall be varied to his disadvantage after his appointment","Article 125 - Salaries, etc, of Judges","This article talks about the salaries and benefits of judges in the Supreme Court.

The government will pay judges a salary, which is decided by Parliament.
The judges will also get certain privileges, allowances, and benefits like leave and pension, which Parliament decides.
Once a judge is appointed, their benefits can’t be reduced. They cannot lose any privileges after becoming a judge."
126,"126. Appointment of acting Chief Justice When the office of Chief Justice of India is vacant or when the Chief Justice is, by reason or absence or otherwise, unable to perform the duties of his office, the duties of the office shall be performed by such one of the other Judges of the Court as the President may appoint for the purpose",Article 126 - Appointment of Acting Chief Justice,"When the Chief Justice of India is not available (maybe because they’re absent or the position is vacant), the President can appoint another judge from the Supreme Court to do the Chief Justice’s job temporarily.

"
127,"127. Appointment of ad hoc Judges
 (1) If at any time there should not be a quorum of the Judges of the Supreme Court available to hold or continue any session of the Court, the Chief Justice of India may, with the previous consent of the President and after consultation with the Chief Justice of the High Court concerned, request in writing the attendance at the sittings of the Court, as an ad hoc Judge, for such period as may be necessary, of a Judge of a High Court duly qualified for appointment as a Judge of the Supreme Court to be designated by the Chief Justice of India
 (2) It shall be the duty of the Judge who has been so designated, in priority to other duties of his office, to attend the sittings of the Supreme Court at the time and for the period for which his attendance is required, and while so attending he shall have all the jurisdiction, powers and privileges, and shall discharge the duties, of a Judge of the Supreme Court",Article 127 - Appointment of ad hoc Judges,"Sometimes, there may not be enough judges in the Supreme Court to continue a case.

In such situations, the Chief Justice can ask a judge from a High Court (who qualifies to be a Supreme Court judge) to temporarily join the Supreme Court as an ad hoc judge to help out.
The judge will prioritize this job and have the same powers as any other Supreme Court judge while doing this work.
"
128,"128. Attendance of retired Judges at sittings of the Supreme Court Notwithstanding anything in this chapter, the Chief Justice of India may at any time, with the previous consent of the president, request any person who has held the office of a Judge of the Supreme Court or of the Federal Court or who has held the office of a Judge of a High Court and is duly qualified for appointment as a Judge of the Supreme Court to sit and act as a Judge of the Supreme Court, and every such person so requested shall, while so sitting and acting, be entitled to such allowances as the President may by order determine and have all the jurisdiction, powers and privileges of, but shall not otherwise be deemed to be, a Judge of that Court: Provided that nothing in this article shall be deemed to require any such person as aforesaid to sit and act as a Judge of that Court unless he consents so to do",Article 128 - Attendance of Retired Judges at Sittings of the Supreme Court,"This article allows retired judges to come back and help the Supreme Court if needed.

The Chief Justice can ask a retired judge to sit in the Supreme Court, with the President’s approval.
The retired judge will have the same powers as a regular judge but will not be considered a permanent judge unless they agree to help.
"
129,129. Supreme Court to be a court of record The Supreme Court shall be a court of record and shall have all the powers of such a court including the power to punish for contempt of itself,Article 129 - Supreme Court to be a Court of Record,"The Supreme Court is an important court, and it keeps a record of all its decisions and actions.

This means it has the power to store records, and it can punish anyone who disrespects or doesn't follow its orders (contempt of court).
"
130,"130. Seat of Supreme Court The Supreme Court shall sit in Delhi or in such other place or places, as the Chief Justice of India may, with the approval of the President, from time to time, appoint",Article 130 - Seat of Supreme Court,"The Supreme Court usually sits in Delhi, but the Chief Justice can decide to hold court in another place if needed, with the President’s approval.

"
131,"131. Original jurisdiction of the Supreme Court Subject to the provisions of this Constitution, the Supreme Court shall, to the exclusion of any other court, have original jurisdiction in any dispute
 (a) between the Government of India and one or more States; or
 (b) between the Government of India and any State or States on one side and one or more other States on the other; or
 (c) between two or more States, if and in so far as the dispute involves any question (whether of law or fact) on which the existence or extent of a legal right depends: Provided that the said jurisdiction shall not extend to a dispute arising out of any treaty, agreement, covenant, engagements, and or other similar instrument which, having been entered into or executed before the commencement of this Constitution, continues in operation after such commencement, or which provides that the said jurisdiction shall not extend to such a dispute",Article 131 - Original Jurisdiction of the Supreme Court,"The Supreme Court has the power to hear certain types of cases first (before any other court). These cases can be:

Disagreements between the Government of India and one or more states.
Disagreements between different states.
The Supreme Court decides such cases if they are about legal rights.
But, if the case is related to old agreements or treaties made before the Constitution started, the Supreme Court won’t handle it."
132,"132. Appellate jurisdiction of Supreme Court in appeals from High Courts in certain cases ( 1 ) An appeal shall lie to the Supreme Court from any judgment, decree or final order of a High Court in the territory of India, whether in a civil, criminal or other proceeding, if the High Court certifies under Article 134A that the case involves a substantial question of law as t the interpretation of this Constitution
 (2) Omitted
 (3) Where such a certificate is given, any party in the case may appeal to the Supreme Court on the ground that any such question as aforesaid has been wrongly decided Explanation For the purposes of this article, the expression final order includes an order declaring an issue which, if decided in favour of the appellant, would be sufficient for the final disposal of the case",Article 132 - Appellate Jurisdiction of Supreme Court in Appeals from High Courts in Certain Cases,"This article allows people to appeal to the Supreme Court if they think the High Court made a mistake in a big legal question about the Constitution.

If the High Court says the case involves a big legal question, anyone involved in the case can appeal to the Supreme Court."
133,"133. Appellate jurisdiction of Supreme Court in appeals from High Courts in regard to civil matters
 (1) An appeal shall lie to the Supreme Court from any judgment, decree or final order in a civil proceeding of a High Court in the territory of India if the High Court certifies under Article 134A
 (a) that the case involves a substantial question of law of general importance; and
 (b) that in the opinion of the High Court the said question needs to be decided by the Supreme Court
 (2) Notwithstanding anything in Article 132, any party appealing to the Supreme Court under clause ( 1 ) may urge as one of the grounds in such appeal that a substantial question of law as to the interpretation of this Constitution has been wrongly decided
 (3) Notwithstanding anything in this article, no appeal shall, unless Parliament by law otherwise provides, lie to the Supreme Court from the judgment, decree or final order of one Judge of a High Court",Article 133: Appellate Jurisdiction of the Supreme Court in Civil Matters from High Courts,"This article defines the procedure and conditions under which an appeal can be made to the Supreme Court of India from the High Courts in civil matters.

Clause 1: Appeal to the Supreme Court
An appeal can be made to the Supreme Court from a High Court's judgment, decree, or final order in a civil case, but only under the following conditions:

The High Court certifies the case under Article 134A:
Substantial Question of Law: The case must involve a substantial question of law of general importance. This means the legal issue is significant enough that it should be settled at the national level.
Need for Supreme Court Decision: The High Court must be of the opinion that this question needs to be decided by the Supreme Court. It indicates that the issue is important enough to require a final decision from the highest court.
Clause 2: Grounds for Appeal
Even if an appeal is made under Clause 1, the appellant (the person appealing) may also argue that:

A substantial question of law concerning the interpretation of the Constitution has been wrongly decided by the High Court. This provides the appellant the opportunity to challenge the High Court’s interpretation of constitutional matters.
Clause 3: Restrictions on Appeals from Single Judge of a High Court
No Appeal from a Single Judge: Generally, no appeal shall be made to the Supreme Court from the judgment, decree, or final order of a single judge of a High Court, unless Parliament makes a law allowing it.
This ensures that appeals from a single judge's decision of a High Court are limited, and the appeal process is typically reserved for decisions made by a larger bench of the High Court (a bench with more than one judge)."
